Timestamp (s),X-Position (%),Y-Position (%)
680654,34,33
680754,34,34
680754,34,34
680754,34,35
681254,34,32
681254,34,33
681054,36,37
681254,36,36
681254,37,38
681354,37,39
681554,39,41
681654,39,42
681754,40,44
681654,35,35
681854,35,34
681954,34,33
682154,33,31
682354,33,31
682854,34,31
683154,34,30
683254,34,31
683054,34,33
682154,36,35
682354,36,36
682554,37,37
682954,38,38
683054,38,40
683254,39,41
683154,41,48
683554,41,48
683854,41,44
684054,40,43
684354,37,37
684154,37,36
684054,37,36
684054,35,33
683954,34,32
683854,35,31
683954,35,31
684754,35,32
684854,34,32
684954,36,35
685254,38,34
685254,36,33
684954,36,34
685154,35,32
685354,35,31
685454,35,31
685554,36,33
685554,37,34
685654,37,34
685754,37,35
686054,35,32
686268,37,38
686371,37,37
686438,40,38
686571,40,40
686668,41,39
686934,36,32
686301,36,32
686701,37,32
686901,37,31
687301,40,43
686701,36,40
687601,36,37
686901,35,35
687401,36,34
687601,37,34
687801,34,31
687901,33,32
687901,32,32
688101,34,31
688401,34,32
688501,35,32
688701,36,31
688801,35,35
688501,35,34
688401,35,35
688801,36,32
689001,37,33
689101,37,34
689501,38,40
689801,39,41
689801,39,41
690001,39,41
690501,39,39
690501,36,36
690301,36,34
690201,35,33
690101,35,34
690001,35,33
690001,36,34
690401,35,31
690501,37,37
690701,35,31
690701,35,32
690801,37,36
690901,37,32
690901,37,33
691301,39,41
691601,39,41
691701,39,44
691701,36,35
691701,36,34
691701,35,32
692201,33,31
692201,34,32
692201,35,32
692601,35,34
692701,34,33
692901,38,38
693001,36,37
693001,34,36
693001,39,41
693301,35,33
693401,34,31
693601,34,31
693601,36,36
693901,40,44
694101,35,34
694201,34,32
694201,35,31
694201,35,30
694801,33,31
694801,34,33
694801,35,34
694801,41,44
695101,36,36
695301,35,34
695401,34,33
695601,34,32
695601,33,30
695801,39,39
696001,37,38
696101,41,48
696101,41,46
696301,37,41
695901,35,34
696101,35,33
696101,34,31
696101,33,29
696501,34,31
696701,39,42
696701,37,40
696901,34,34
697101,35,35
697301,40,46
697401,41,48
697801,33,30
697901,33,31
698001,33,33
698401,34,34
698001,40,43
698201,39,43
698301,39,44
698401,34,38
698601,35,34
698701,36,37
698801,36,37
699201,33,31
699301,34,33
699301,35,34
699601,36,36
699801,35,33
700001,34,32
700201,34,29
700501,34,29
700701,37,41
700401,40,44
700701,37,33
700801,35,32
700901,34,31
701001,29,28
701001,30,28
701301,36,34
701401,37,36
701401,38,38
701801,35,34
701801,35,32
701801,35,31
702201,36,31
702301,34,33
702401,35,34
701601,34,32
701101,34,31
702101,35,32
702201,36,33
702301,36,34
702501,38,39
702601,38,40
702701,39,41
703101,36,33
703201,35,31
703301,35,31
703701,34,28
703801,33,28
703801,41,43
703901,40,42
704201,40,48
704301,33,31
704401,34,32
704501,34,32
704801,36,34
705001,34,32
705101,34,31
705401,37,38
705401,43,49
705501,37,36
706001,35,34
706001,35,32
706001,34,31
706501,34,29
706501,34,29
706701,36,34
706801,35,33
706801,35,32
706901,35,32
707701,37,38
707801,36,36
708101,34,32
708401,35,34
708601,34,32
708601,34,31
708301,38,41
709101,37,37
709201,35,35
709401,34,31
709501,34,31
709701,38,38
709801,38,42
709901,39,43
710101,37,35
710101,35,34
710301,36,32
710501,34,30
710601,37,37
710701,37,36
710901,36,38
711001,38,35
711101,37,33
711201,37,32
711301,35,30
711401,35,30
711501,36,30
711601,38,36
711701,39,38
711801,39,40
711901,41,41
712001,40,44
712101,43,43
712201,38,37
712401,37,35
712501,36,33
712501,35,32
712601,34,30
712701,33,30
712801,34,29
713001,37,37
